pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse
"Kepler-1167 b","Kepler-1167",1,1,"Transit",2016,1.00393373900,1.71000000,3.57000000
"Kepler-1740 b","Kepler-1740",1,1,"Transit",2021,8.17240047500,3.32321414,11.00000000
"Kepler-1581 b","Kepler-1581",1,1,"Transit",2016,6.28385491000,0.80000000,0.43700000
"Kepler-644 b","Kepler-644",1,1,"Transit",2016,3.17391710300,3.15000000,10.10000000
"Kepler-1752 b","Kepler-1752",1,1,"Transit",2021,56.35850143000,4.54060463,18.70000000
"Kepler-280 c","Kepler-280",1,2,"Transit",2014,4.80709100000,2.01000000,4.70000000
"Kepler-1208 b","Kepler-1208",1,1,"Transit",2016,11.08507637000,2.32000000,5.99000000
"Kepler-263 c","Kepler-263",1,2,"Transit",2014,47.33277300000,2.47000000,6.66000000
"Kepler-1101 b","Kepler-1101",1,1,"Transit",2016,81.31510590000,2.47000000,6.66000000
"HD 168746 b","HD 168746",1,1,"Radial Velocity",2002,6.40400000000,11.10000000,85.81410000
"TOI-2406 b","TOI-2406",1,1,"Transit",2021,3.07668910000,2.86000000,15.60000000
"HD 18599 b","HD 18599",2,1,"Transit",2022,4.13743540000,2.60000000,24.10000000
"Kepler-560 b","Kepler-560",2,1,"Transit",2016,18.47764449000,1.72000000,3.61000000
"Kepler-150 d","Kepler-150",1,5,"Transit",2014,12.56093000000,2.79000000,8.20000000
"Kepler-498 b","Kepler-498",1,1,"Transit",2016,9.61375356000,3.03000000,9.43000000
"Kepler-817 b","Kepler-817",1,1,"Transit",2016,3.99010622900,9.03000000,60.20000000
"Kepler-937 b","Kepler-937",1,2,"Transit",2016,67.66882700000,3.72000000,13.40000000
"K2-10 b","K2-10",1,1,"Transit",2015,19.30553000000,3.77300000,25.20000000
"Kepler-571 b","Kepler-571",1,1,"Transit",2016,4.79859938800,2.64000000,7.46000000
"Kepler-1458 b","Kepler-1458",1,1,"Transit",2016,47.98727640000,2.76000000,8.05000000
"Kepler-1600 c","Kepler-1600",1,2,"Transit",2021,7.29804992700,1.94206512,4.43000000
"Kepler-221 d","Kepler-221",1,4,"Transit",2014,10.04156000000,2.73000000,3.61000000
"Kepler-626 b","Kepler-626",1,1,"Transit",2016,14.48585199000,2.29000000,5.86000000
"Kepler-1549 b","Kepler-1549",1,1,"Transit",2016,214.88654500000,2.57000000,7.13000000
"K2-62 c","K2-62",1,2,"Transit",2016,16.19697000000,1.99000000,4.62000000
"Kepler-1149 b","Kepler-1149",1,1,"Transit",2016,3.73089898000,1.44000000,2.67000000
"Kepler-1288 b","Kepler-1288",1,1,"Transit",2016,2.76122421000,1.12000000,1.46000000
"Kepler-128 b","Kepler-128",1,2,"Transit",2013,15.00000000000,1.42100000,3.79000000
"Kepler-1245 b","Kepler-1245",1,2,"Transit",2016,4.35409304000,1.44000000,2.67000000
"Kepler-1068 b","Kepler-1068",1,1,"Transit",2016,16.92344113000,3.63000000,12.80000000
"Kepler-150 e","Kepler-150",1,5,"Transit",2014,30.82655700000,3.12000000,9.91000000
"Kepler-272 c","Kepler-272",1,3,"Transit",2014,6.05734200000,1.79000000,97.80000000
"Kepler-152 c","Kepler-152",1,2,"Transit",2014,88.25505500000,2.39000000,6.30000000
"Kepler-1506 b","Kepler-1506",1,1,"Transit",2016,14.03291540000,1.32000000,2.30000000
"CoRoT-3 b","CoRoT-3",1,1,"Transit",2008,4.25680000000,11.32000000,6883.91000000
"HD 205739 b","HD 205739",1,1,"Radial Velocity",2008,279.80000000000,13.60000000,435.41000000
"HD 224693 b","HD 224693",1,1,"Radial Velocity",2006,26.69040000000,14.00000000,222.48100000
"HD 16417 b","HD 16417",2,1,"Radial Velocity",2008,17.24000000000,5.00000000,22.10000000
"HD 19994 b","HD 19994",3,1,"Radial Velocity",2003,466.20000000000,13.60000000,435.41000000
"GJ 179 b","GJ 179",1,1,"Radial Velocity",2009,2288.00000000000,13.80000000,301.93698665
"GQ Lup b","GQ Lup",1,1,"Imaging",2004,,33.60000000,6356.00000000
"HD 37605 b","HD 37605",1,2,"Radial Velocity",2004,55.01292000000,13.20000000,854.96270000
"HD 33283 b","HD 33283",2,1,"Radial Velocity",2006,18.19910000000,12.50000000,104.56607000
"HD 9446 b","HD 9446",1,2,"Radial Velocity",2009,30.05200000000,14.00000000,222.47200000
"HD 134987 c","HD 134987",1,2,"Radial Velocity",2009,5000.00000000000,13.90000000,260.00000000
"HD 110014 b","HD 110014",1,1,"Radial Velocity",2009,835.47700000000,12.40000000,3524.59000000
"HD 79498 b","HD 79498",2,1,"Radial Velocity",2011,1807.00000000000,13.60000000,425.89220000
"HD 45652 b","HD 45652",1,1,"Radial Velocity",2008,44.07300000000,14.30000000,137.62039000
"HIP 79431 b","HIP 79431",1,1,"Radial Velocity",2009,111.70000000000,13.40000000,667.41500000
"GJ 876 b","GJ 876",1,4,"Radial Velocity",1998,61.11660000000,13.30000000,723.22350000
"HD 86226 b","HD 86226",1,2,"Radial Velocity",2009,1628.00000000000,14.30000000,143.02350000
